"Table S3. Leave-one-meta-analysis-model-out influence on the meta-analysis-level summaries.

Each of the 48 meta-analytic models is removed in turn and the summary recomputed from the remaining 47, for each of the four assumed effects, each of the three metrics,
and both weightings. `change_pct` is the percentage change in the summary caused by removing that model, and `influence_rank` orders the 48 models by the absolute size of that change within each specification, metric and weighting;
rows are sorted so that the most influential model appears first in each block.
Single-model leverage is largely a property of the weighting rather than of any model: weighting by effect-size count gives one model 22.6% of the weight and it moves the bias-robust power summary by 44.7%,
whereas under equal weighting no model moves any power summary by more than 5.1%.
The contrast is smaller but in the same direction for Type M error (34.3% against 14.3%) and for Type S error (78.0% against 34.9%), which are more sensitive to individual models because both diverge as the assumed effect approaches zero.
Nothing is excluded from any reported analysis; this is an influence diagnostic. Companion to Table S4, which removes a source paper at a time.",,,,,,,,,
,,,,,,,,,
specification,weighting,metric,dropped_model,n_effect_sizes_contributed,pct_of_effect_sizes,summary_all_48_models,summary_without,change_pct,influence_rank
Yang 2023 bias-corrected,By effect-size count,Type M error,MA01_03,16,0.3,2.1771,2.1768,0,47
Yang 2023 bias-corrected,By effect-size count,Type M error,MA25,43,0.7,2.1771,2.1772,0,48
Yang 2023 bias-corrected,By effect-size count,Type S error,MA26,459,8,0.0122,0.0048,-61.1,1
Yang 2023 bias-corrected,By effect-size count,Type S error,MA09,1297,22.6,0.0122,0.0167,36.6,2
Yang 2023 bias-corrected,By effect-size count,Type S error,MA31,734,12.8,0.0122,0.0145,18.3,3
Yang 2023 bias-corrected,By effect-size count,Type S error,MA34,555,9.7,0.0122,0.0138,13.2,4
Yang 2023 bias-corrected,By effect-size count,Type S error,MA08,531,9.3,0.0122,0.0138,12.6,5
Yang 2023 bias-corrected,By effect-size count,Type S error,MA47_1,65,1.1,0.0122,0.0113,-7.5,6
Yang 2023 bias-corrected,By effect-size count,Type S error,MA39_1,37,0.6,0.0122,0.0116,-5.2,7
Yang 2023 bias-corrected,By effect-size count,Type S error,MA14_02,167,2.9,0.0122,0.0127,3.7,8
Yang 2023 bias-corrected,By effect-size count,Type S error,MA24,139,2.4,0.0122,0.0126,3,9
Yang 2023 bias-corrected,By effect-size count,Type S error,MA41_02,184,3.2,0.0122,0.0119,-2.9,10
Yang 2023 bias-corrected,By effect-size count,Type S error,MA41_01,110,1.9,0.0122,0.0125,2.4,11
Yang 2023 bias-corrected,By effect-size count,Type S error,MA14_01,104,1.8,0.0122,0.0125,2.2,12
Yang 2023 bias-corrected,By effect-size count,Type S error,MA41_04,104,1.8,0.0122,0.0125,2.2,13
Yang 2023 bias-corrected,By effect-size count,Type S error,MA41_03,129,2.2,0.0122,0.012,-1.9,14
Yang 2023 bias-corrected,By effect-size count,Type S error,MA28_01,84,1.5,0.0122,0.0124,1.8,15
Yang 2023 bias-corrected,By effect-size count,Type S error,MA13_03,14,0.2,0.0122,0.012,-1.8,16
Yang 2023 bias-corrected,By effect-size count,Type S error,MA28_02,84,1.5,0.0122,0.0124,1.8,17
Yang 2023 bias-corrected,By effect-size count,Type S error,MA22_01,92,1.6,0.0122,0.0124,1.7,18
Yang 2023 bias-corrected,By effect-size count,Type S error,MA39_2,15,0.3,0.0122,0.012,-1.7,19
Yang 2023 bias-corrected,By effect-size count,Type S error,MA01_02,14,0.2,0.0122,0.012,-1.6,20
Yang 2023 bias-corrected,By effect-size count,Type S error,MA20_cleaned,29,0.5,0.0122,0.012,-1.6,21
Yang 2023 bias-corrected,By effect-size count,Type S error,MA12,70,1.2,0.0122,0.0124,1.5,22
Yang 2023 bias-corrected,By effect-size count,Type S error,MA22_02,92,1.6,0.0122,0.0124,1.4,23
Yang 2023 bias-corrected,By effect-size count,Type S error,MA22_03,92,1.6,0.0122,0.0124,1.4,24
Yang 2023 bias-corrected,By effect-size count,Type S error,MA10,32,0.6,0.0122,0.0121,-1.4,25
Yang 2023 bias-corrected,By effect-size count,Type S error,MA06_02,13,0.2,0.0122,0.0121,-1.3,26
Yang 2023 bias-corrected,By effect-size count,Type S error,MA15_04,11,0.2,0.0122,0.0121,-1.3,27
Yang 2023 bias-corrected,By effect-size count,Type S error,MA06_01,33,0.6,0.0122,0.0121,-1.1,28
Yang 2023 bias-corrected,By effect-size count,Type S error,MA23,24,0.4,0.0122,0.0121,-1,29
Yang 2023 bias-corrected,By effect-size count,Type S error,MA47_2,38,0.7,0.0122,0.0123,0.8,30
Yang 2023 bias-corrected,By effect-size count,Type S error,MA17,66,1.1,0.0122,0.0123,0.8,31
Yang 2023 bias-corrected,By effect-size count,Type S error,MA13_02,37,0.6,0.0122,0.0123,0.7,32
Yang 2023 bias-corrected,By effect-size count,Type S error,MA45_01,28,0.5,0.0122,0.0123,0.6,33
Yang 2023 bias-corrected,By effect-size count,Type S error,MA43,13,0.2,0.0122,0.0122,-0.6,34
Yang 2023 bias-corrected,By effect-size count,Type S error,MA25,43,0.7,0.0122,0.0123,0.6,35
Yang 2023 bias-corrected,By effect-size count,Type S error,MA18,23,0.4,0.0122,0.0123,0.5,36
Yang 2023 bias-corrected,By effect-size count,Type S error,MA15_01,5,0.1,0.0122,0.0122,-0.5,37
Yang 2023 bias-corrected,By effect-size count,Type S error,MA13_01,43,0.7,0.0122,0.0123,0.4,38
Yang 2023 bias-corrected,By effect-size count,Type S error,MA01_01,22,0.4,0.0122,0.0123,0.4,39
Yang 2023 bias-corrected,By effect-size count,Type S error,MA05_02,16,0.3,0.0122,0.0123,0.3,40
Yang 2023 bias-corrected,By effect-size count,Type S error,MA32,13,0.2,0.0122,0.0123,0.3,41
Yang 2023 bias-corrected,By effect-size count,Type S error,MA15_03,11,0.2,0.0122,0.0123,0.2,42
Yang 2023 bias-corrected,By effect-size count,Type S error,MA45_02,11,0.2,0.0122,0.0123,0.2,43
Yang 2023 bias-corrected,By effect-size count,Type S error,MA21,11,0.2,0.0122,0.0122,-0.2,44
Yang 2023 bias-corrected,By effect-size count,Type S error,MA15_02,9,0.2,0.0122,0.0122,0.2,45
Yang 2023 bias-corrected,By effect-size count,Type S error,MA01_03,16,0.3,0.0122,0.0122,0.2,46
Yang 2023 bias-corrected,By effect-size count,Type S error,MA05_03,4,0.1,0.0122,0.0122,0.1,47
Yang 2023 bias-corrected,By effect-size count,Type S error,MA05_01,17,0.3,0.0122,0.0122,-0.1,48
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA09,1297,22.6,0.4789,0.6931,44.7,1
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA31,734,12.8,0.4789,0.4299,-10.2,2
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA08,531,9.3,0.4789,0.4443,-7.2,3
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA34,555,9.7,0.4789,0.4523,-5.6,4
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA26,459,8,0.4789,0.4566,-4.7,5
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA22_02,92,1.6,0.4789,0.4968,3.7,6
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA41_02,184,3.2,0.4789,0.495,3.3,7
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA14_02,167,2.9,0.4789,0.4685,-2.2,8
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA24,139,2.4,0.4789,0.4703,-1.8,9
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA41_03,129,2.2,0.4789,0.4725,-1.4,10
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA14_01,104,1.8,0.4789,0.4726,-1.3,11
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA41_04,104,1.8,0.4789,0.473,-1.2,12
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA47_1,65,1.1,0.4789,0.4848,1.2,13
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA28_01,84,1.5,0.4789,0.4737,-1.1,14
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA28_02,84,1.5,0.4789,0.4737,-1.1,15
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA39_1,37,0.6,0.4789,0.4837,1,16
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA41_01,110,1.9,0.4789,0.4747,-0.9,17
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA17,66,1.1,0.4789,0.4824,0.7,18
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA20_cleaned,29,0.5,0.4789,0.4822,0.7,19
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA22_03,92,1.6,0.4789,0.4819,0.6,20
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA25,43,0.7,0.4789,0.4764,-0.5,21
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA39_2,15,0.3,0.4789,0.4814,0.5,22
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA47_2,38,0.7,0.4789,0.4766,-0.5,23
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA13_01,43,0.7,0.4789,0.4772,-0.4,24
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA45_01,28,0.5,0.4789,0.4772,-0.4,25
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA05_01,17,0.3,0.4789,0.4804,0.3,26
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA23,24,0.4,0.4789,0.4775,-0.3,27
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA18,23,0.4,0.4789,0.4775,-0.3,28
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA10,32,0.6,0.4789,0.4776,-0.3,29
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA01_01,22,0.4,0.4789,0.4776,-0.3,30
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA43,13,0.2,0.4789,0.4801,0.2,31
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA01_03,16,0.3,0.4789,0.478,-0.2,32
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA01_02,14,0.2,0.4789,0.4781,-0.2,33
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA13_02,37,0.6,0.4789,0.4781,-0.2,34
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA13_03,14,0.2,0.4789,0.4781,-0.2,35
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA32,13,0.2,0.4789,0.4782,-0.2,36
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA21,11,0.2,0.4789,0.4797,0.2,37
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA06_02,13,0.2,0.4789,0.4782,-0.2,38
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA45_02,11,0.2,0.4789,0.4783,-0.1,39
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA15_03,11,0.2,0.4789,0.4783,-0.1,40
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA06_01,33,0.6,0.4789,0.4795,0.1,41
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA15_02,9,0.2,0.4789,0.4784,-0.1,42
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA22_01,92,1.6,0.4789,0.4795,0.1,43
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA15_04,11,0.2,0.4789,0.4795,0.1,44
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA12,70,1.2,0.4789,0.4784,-0.1,45
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA05_02,16,0.3,0.4789,0.4786,-0.1,46
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA05_03,4,0.1,0.4789,0.4789,0,47
Yang 2024 bias-robust (FE + VCV),By effect-size count,Statistical power,MA15_01,5,0.1,0.4789,0.4789,0,48
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA09,1297,22.6,1.5257,1.2637,-17.2,1
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA31,734,12.8,1.5257,1.6232,6.4,2
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA22_02,92,1.6,1.5257,1.4478,-5.1,3
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA08,531,9.3,1.5257,1.5929,4.4,4
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA34,555,9.7,1.5257,1.5781,3.4,5
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA26,459,8,1.5257,1.5692,2.8,6
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA41_02,184,3.2,1.5257,1.5025,-1.5,7
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA14_02,167,2.9,1.5257,1.5452,1.3,8
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA24,139,2.4,1.5257,1.5418,1.1,9
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA41_03,129,2.2,1.5257,1.5379,0.8,10
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA14_01,104,1.8,1.5257,1.5375,0.8,11
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA41_04,104,1.8,1.5257,1.5367,0.7,12
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA28_01,84,1.5,1.5257,1.5353,0.6,13
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA28_02,84,1.5,1.5257,1.5353,0.6,14
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA47_1,65,1.1,1.5257,1.517,-0.6,15
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA39_1,37,0.6,1.5257,1.5172,-0.6,16
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA41_01,110,1.9,1.5257,1.5339,0.5,17
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA39_2,15,0.3,1.5257,1.5202,-0.4,18
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA20_cleaned,29,0.5,1.5257,1.5204,-0.3,19
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA25,43,0.7,1.5257,1.5304,0.3,20
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA17,66,1.1,1.5257,1.5213,-0.3,21
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA47_2,38,0.7,1.5257,1.53,0.3,22
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA13_01,43,0.7,1.5257,1.5291,0.2,23
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA45_01,28,0.5,1.5257,1.5289,0.2,24
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA22_03,92,1.6,1.5257,1.5227,-0.2,25
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA23,24,0.4,1.5257,1.5284,0.2,26
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA18,23,0.4,1.5257,1.5283,0.2,27
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA10,32,0.6,1.5257,1.5283,0.2,28
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA01_01,22,0.4,1.5257,1.5282,0.2,29
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA05_01,17,0.3,1.5257,1.5236,-0.1,30
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA12,70,1.2,1.5257,1.5277,0.1,31
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA13_02,37,0.6,1.5257,1.5276,0.1,32
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA01_03,16,0.3,1.5257,1.5275,0.1,33
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA43,13,0.2,1.5257,1.5241,-0.1,34
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA01_02,14,0.2,1.5257,1.5273,0.1,35
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA13_03,14,0.2,1.5257,1.5272,0.1,36
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA32,13,0.2,1.5257,1.5272,0.1,37
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA06_02,13,0.2,1.5257,1.5271,0.1,38
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA45_02,11,0.2,1.5257,1.527,0.1,39
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA15_03,11,0.2,1.5257,1.5269,0.1,40
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA21,11,0.2,1.5257,1.5246,-0.1,41
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA15_02,9,0.2,1.5257,1.5268,0.1,42
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA05_02,16,0.3,1.5257,1.5265,0,43
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA22_01,92,1.6,1.5257,1.5264,0,44
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA15_04,11,0.2,1.5257,1.5251,0,45
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA06_01,33,0.6,1.5257,1.5254,0,46
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA05_03,4,0.1,1.5257,1.5259,0,47
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type M error,MA15_01,5,0.1,1.5257,1.5259,0,48
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA09,1297,22.6,0.0056,0.0026,-53.4,1
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA22_02,92,1.6,0.0056,0.0043,-23.4,2
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA31,734,12.8,0.0056,0.0065,16.4,3
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA34,555,9.7,0.0056,0.0063,12,4
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA08,531,9.3,0.0056,0.0063,11.4,5
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA26,459,8,0.0056,0.0062,9.7,6
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA14_02,167,2.9,0.0056,0.0058,3.3,7
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA24,139,2.4,0.0056,0.0058,2.7,8
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA39_1,37,0.6,0.0056,0.0055,-2.7,9
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA41_03,129,2.2,0.0056,0.0058,2.5,10
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA39_2,15,0.3,0.0056,0.0055,-2.4,11
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA41_01,110,1.9,0.0056,0.0057,2.2,12
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA14_01,104,1.8,0.0056,0.0057,2,13
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA41_04,104,1.8,0.0056,0.0057,2,14
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA22_01,92,1.6,0.0056,0.0057,1.7,15
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA28_01,84,1.5,0.0056,0.0057,1.6,16
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA28_02,84,1.5,0.0056,0.0057,1.6,16
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA22_03,92,1.6,0.0056,0.0057,1.5,18
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA12,70,1.2,0.0056,0.0057,1.3,19
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA41_02,184,3.2,0.0056,0.0055,-1.3,20
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA20_cleaned,29,0.5,0.0056,0.0056,-1.2,21
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA25,43,0.7,0.0056,0.0057,0.8,22
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA13_01,43,0.7,0.0056,0.0057,0.8,23
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA47_1,65,1.1,0.0056,0.0056,-0.8,24
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA17,66,1.1,0.0056,0.0057,0.8,25
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA47_2,38,0.7,0.0056,0.0057,0.7,26
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA13_02,37,0.6,0.0056,0.0057,0.7,27
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA10,32,0.6,0.0056,0.0057,0.6,28
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA06_01,33,0.6,0.0056,0.0057,0.6,29
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA45_01,28,0.5,0.0056,0.0057,0.5,30
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA23,24,0.4,0.0056,0.0056,0.5,31
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA18,23,0.4,0.0056,0.0056,0.4,32
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA01_01,22,0.4,0.0056,0.0056,0.4,33
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA01_03,16,0.3,0.0056,0.0056,0.3,34
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA05_02,16,0.3,0.0056,0.0056,0.3,35
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA01_02,14,0.2,0.0056,0.0056,0.3,36
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA13_03,14,0.2,0.0056,0.0056,0.3,37
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA32,13,0.2,0.0056,0.0056,0.3,38
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA06_02,13,0.2,0.0056,0.0056,0.3,39
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA45_02,11,0.2,0.0056,0.0056,0.2,40
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA15_03,11,0.2,0.0056,0.0056,0.2,41
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA15_02,9,0.2,0.0056,0.0056,0.2,42
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA15_04,11,0.2,0.0056,0.0056,0.1,43
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA05_01,17,0.3,0.0056,0.0056,-0.1,44
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA43,13,0.2,0.0056,0.0056,-0.1,45
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA15_01,5,0.1,0.0056,0.0056,0.1,46
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA05_03,4,0.1,0.0056,0.0056,0.1,47
Yang 2024 bias-robust (FE + VCV),By effect-size count,Type S error,MA21,11,0.2,0.0056,0.0056,0,48
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA09,1297,22.6,0.3827,0.6609,72.7,1
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA31,734,12.8,0.3827,0.3328,-13,2
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA34,555,9.7,0.3827,0.3453,-9.8,3
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA08,531,9.3,0.3827,0.347,-9.3,4
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA26,459,8,0.3827,0.3522,-8,5
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA41_02,184,3.2,0.3827,0.4089,6.8,6
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA14_02,167,2.9,0.3827,0.3718,-2.8,7
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA24,139,2.4,0.3827,0.3737,-2.3,8
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA22_02,92,1.6,0.3827,0.391,2.2,9
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA41_03,129,2.2,0.3827,0.3761,-1.7,10
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA14_01,104,1.8,0.3827,0.3761,-1.7,11
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA22_01,92,1.6,0.3827,0.3885,1.5,12
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA47_1,65,1.1,0.3827,0.3884,1.5,13
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA28_01,84,1.5,0.3827,0.3773,-1.4,14
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA28_02,84,1.5,0.3827,0.3773,-1.4,15
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA41_04,104,1.8,0.3827,0.3781,-1.2,16
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA12,70,1.2,0.3827,0.3795,-0.8,17
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA22_03,92,1.6,0.3827,0.3855,0.7,18
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA25,43,0.7,0.3827,0.3801,-0.7,19
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA47_2,38,0.7,0.3827,0.3803,-0.6,20
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA06_01,33,0.6,0.3827,0.3849,0.6,21
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA13_01,43,0.7,0.3827,0.3806,-0.5,22
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA20_cleaned,29,0.5,0.3827,0.3846,0.5,23
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA05_01,17,0.3,0.3827,0.3845,0.5,24
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA45_01,28,0.5,0.3827,0.3809,-0.5,25
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA10,32,0.6,0.3827,0.3811,-0.4,26
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA23,24,0.4,0.3827,0.3812,-0.4,27
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA39_2,15,0.3,0.3827,0.3842,0.4,28
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA18,23,0.4,0.3827,0.3812,-0.4,29
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA01_01,22,0.4,0.3827,0.3813,-0.4,30
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA21,11,0.2,0.3827,0.384,0.4,31
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA43,13,0.2,0.3827,0.3838,0.3,32
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA01_03,16,0.3,0.3827,0.3817,-0.3,33
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA39_1,37,0.6,0.3827,0.3837,0.3,34
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA13_02,37,0.6,0.3827,0.3817,-0.3,35
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA01_02,14,0.2,0.3827,0.3818,-0.2,36
Yang 2024 bias-robust (UWLS),By effect-size count,Statistical power,MA32,13,0.2,0.3827,0.3819,-0.2,37
